imdbId,budget,revenue,originalTitle,releaseDate
tt1843866,170000000,714766572,Captain America: The Winter Soldier,2014-03-20
tt0295297,100000000,876688482,Harry Potter and the Chamber of Secrets,2002-11-13
tt0234215,150000000,738599701,The Matrix Reloaded,2003-05-15
tt0480249,150000000,585349010,I Am Legend,2007-12-14
tt2310332,250000000,956019788,The Hobbit: The Battle of the Five Armies,2014-12-10
tt0170016,123000000,345141403,How the Grinch Stole Christmas,2000-11-17
tt0449088,300000000,961000000,Pirates of the Caribbean: At World's End,2007-05-19
tt0121765,120000000,649398328,Star Wars: Episode II - Attack of the Clones,2002-05-15
tt1228705,200000000,623933331,Iron Man 2,2010-04-28
tt0367882,185000000,786636033,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
tt0418279,150000000,709709780,Transformers,2007-06-27
tt7975244,125000000,310830000,Jumanji: The Next Level,2019-12-04
tt0120737,93000000,871368364,The Lord of the Rings: The Fellowship of the Ring,2001-12-18
tt0121765,120000000,649398328,Star Wars: Episode II - Attack of the Clones,2002-05-15
tt3501632,180000000,853977126,Thor: Ragnarok,2017-10-25
tt0413267,160000000,798958165,Shrek the Third,2007-05-17
tt0241527,125000000,976475550,Harry Potter and the Philosopher's Stone,2001-11-16
tt5463162,110000000,741547413,Deadpool 2,2018-05-10
tt0367882,185000000,786636033,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
tt1325004,68000000,698491347,The Twilight Saga: Eclipse,2010-06-23
tt1259571,50000000,709827462,The Twilight Saga: New Moon,2009-03-15
tt0120737,93000000,871368364,The Lord of the Rings: The Fellowship of the Ring,2001-12-18
tt0325980,140000000,655011224,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
tt3501632,180000000,853977126,Thor: Ragnarok,2017-10-25
tt1074638,200000000,1108561013,Skyfall,2012-10-25
tt0371746,140000000,585174222,Iron Man,2008-04-30
tt0418279,150000000,709709780,Transformers,2007-06-27
tt0116629,75000000,817400891,Independence Day,1996-06-25
tt0926084,250000000,954305868,Harry Potter and the Deathly Hallows: Part 1,2010-10-17
tt0770828,225000000,668045518,Man of Steel,2013-06-12
tt0363771,180000000,745013115,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07
tt1673434,120000000,829000000,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13
tt7975244,125000000,310830000,Jumanji: The Next Level,2019-12-04
tt0086190,32350000,572700000,Return of the Jedi,1983-05-25
tt1951266,160000000,653428261,The Hunger Games: Mockingjay - Part 2,2015-11-18
tt1454468,105000000,716392705,Gravity,2013-10-03
tt0099785,18000000,476684675,Home Alone,1990-11-09
tt2709692,75000000,508575295,The Grinch,2018-11-08
tt1049413,175000000,735099082,Up,2009-05-28
tt0373889,150000000,938212738,Harry Potter and the Order of the Phoenix,2007-06-28
tt1324999,110000000,712171856,The Twilight Saga: Breaking Dawn - Part 1,2011-03-15
tt1375666,160000000,825532764,Inception,2010-07-15
tt1453405,200000000,743559607,Monsters University,2013-06-20
tt0948470,215000000,752215857,The Amazing Spider-Man,2012-06-27
tt0073195,7000000,470653000,Jaws,1975-06-18
tt0234215,150000000,738599701,The Matrix Reloaded,2003-05-15
tt0126029,60000000,484409218,Shrek,2001-05-16
tt0167404,40000000,672806292,The Sixth Sense,1999-08-06
tt0317705,92000000,631442092,The Incredibles,2004-11-05
tt1119646,35000000,459270619,The Hangover,2009-06-02
tt3470600,75000000,634151679,Sing,2016-11-23
tt0198781,115000000,562816256,"Monsters, Inc.",2001-11-01
tt0290002,80000000,516642939,Meet the Fockers,2004-12-22
tt0080684,18000000,538400000,The Empire Strikes Back,1980-05-20
tt3469046,80000000,1031552585,Despicable Me 3,2017-06-15
tt1228705,200000000,623933331,Iron Man 2,2010-04-28
tt0086190,32350000,572700000,Return of the Jedi,1983-05-25
tt0325980,140000000,655011224,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
tt0417741,250000000,933959197,Harry Potter and the Half-Blood Prince,2009-07-07
tt1074638,200000000,1108561013,Skyfall,2012-10-25
tt1325004,68000000,698491347,The Twilight Saga: Eclipse,2010-06-23
tt1259571,50000000,709827462,The Twilight Saga: New Moon,2009-03-15
tt0116629,75000000,817400891,Independence Day,1996-06-25
tt1049413,175000000,735099082,Up,2009-05-28
tt0449088,300000000,961000000,Pirates of the Caribbean: At World's End,2007-05-19
tt1375666,160000000,825532764,Inception,2010-07-15
tt0373889,150000000,938212738,Harry Potter and the Order of the Phoenix,2007-06-28
tt0926084,250000000,954305868,Harry Potter and the Deathly Hallows: Part 1,2010-10-17
tt0167404,40000000,672806292,The Sixth Sense,1999-08-06
tt1324999,110000000,712171856,The Twilight Saga: Breaking Dawn - Part 1,2011-03-15
tt0198781,115000000,562816256,"Monsters, Inc.",2001-11-01
tt0234215,150000000,738599701,The Matrix Reloaded,2003-05-15
tt1951266,160000000,653428261,The Hunger Games: Mockingjay - Part 2,2015-11-18
tt0099785,18000000,476684675,Home Alone,1990-11-09
tt0290002,80000000,516642939,Meet the Fockers,2004-12-22
tt1119646,35000000,459270619,The Hangover,2009-06-02
tt0096895,35000000,411348924,Batman,1989-06-23
tt0119654,90000000,589390539,Men in Black,1997-07-02
tt1490017,60000000,469160692,The Lego Movie,2014-02-06
tt0330373,150000000,895921036,Harry Potter and the Goblet of Fire,2005-11-16
tt1843866,170000000,714766572,Captain America: The Winter Soldier,2014-03-20
tt1490017,60000000,469160692,The Lego Movie,2014-02-06
tt0796366,150000000,385680446,Star Trek,2009-05-06
tt0170016,123000000,345141403,How the Grinch Stole Christmas,2000-11-17
tt0878804,29000000,309208309,The Blind Side,2009-11-20
tt1170358,250000000,958400000,The Hobbit: The Desolation of Smaug,2013-12-11
tt0295297,100000000,876688482,Harry Potter and the Chamber of Secrets,2002-11-13
tt2310332,250000000,956019788,The Hobbit: The Battle of the Five Armies,2014-12-10
tt0480249,150000000,585349010,I Am Legend,2007-12-14
tt0096895,35000000,411348924,Batman,1989-06-23
tt1411697,80000000,254455986,The Hangover Part II,2011-05-25
tt0477347,110000000,574480841,Night at the Museum,2006-10-20
tt0119654,90000000,589390539,Men in Black,1997-07-02
tt1323594,69000000,543513985,Despicable Me,2010-07-08
tt1587310,180000000,758539785,Maleficent,2014-05-28
tt1298650,380000000,1045713802,Pirates of the Caribbean: On Stranger Tides,2011-05-14
tt0259446,5000000,368744044,My Big Fat Greek Wedding,2002-02-22
tt0120363,90000000,497366869,Toy Story 2,1999-10-30
tt3521164,150000000,695331111,Moana,2016-11-23
tt0082971,18000000,389925971,Raiders of the Lost Ark,1981-06-12
tt0304141,130000000,789804554,Harry Potter and the Prisoner of Azkaban,2004-05-31
tt3183660,180000000,809342332,Fantastic Beasts and Where to Find Them,2016-11-16
tt0087332,30000000,295212467,Ghostbusters,1984-06-08
tt0315327,80000000,484572835,Bruce Almighty,2003-05-23
tt0317219,120000000,461983149,Cars,2006-06-08
tt0117998,92000000,494471524,Twister,1996-05-10
tt0080684,18000000,538400000,The Empire Strikes Back,1980-05-20
tt0363771,180000000,745013115,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07
tt0330373,150000000,895921036,Harry Potter and the Goblet of Fire,2005-11-16
tt0770828,225000000,668045518,Man of Steel,2013-06-12
tt1673434,120000000,829000000,The Twilight Saga: Breaking Dawn - Part 2,2012-11-13
tt0477347,110000000,574480841,Night at the Museum,2006-10-20
tt0119654,90000000,589390539,Men in Black,1997-07-02
tt2310332,250000000,956019788,The Hobbit: The Battle of the Five Armies,2014-12-10
tt3469046,80000000,1031552585,Despicable Me 3,2017-06-15
tt0295297,100000000,876688482,Harry Potter and the Chamber of Secrets,2002-11-13
tt0170016,123000000,345141403,How the Grinch Stole Christmas,2000-11-17
tt0126029,60000000,484409218,Shrek,2001-05-16
tt1453405,200000000,743559607,Monsters University,2013-06-20
tt1490017,60000000,469160692,The Lego Movie,2014-02-06
tt0948470,215000000,752215857,The Amazing Spider-Man,2012-06-27
tt0878804,29000000,309208309,The Blind Side,2009-11-20
tt0796366,150000000,385680446,Star Trek,2009-05-06
tt0317705,92000000,631442092,The Incredibles,2004-11-05
tt0480249,150000000,585349010,I Am Legend,2007-12-14
tt0096895,35000000,411348924,Batman,1989-06-23
tt1843866,170000000,714766572,Captain America: The Winter Soldier,2014-03-20
tt1170358,250000000,958400000,The Hobbit: The Desolation of Smaug,2013-12-11
tt0073195,7000000,470653000,Jaws,1975-06-18
tt1323594,69000000,543513985,Despicable Me,2010-07-08
tt3521164,150000000,695331111,Moana,2016-11-23
tt0120363,90000000,497366869,Toy Story 2,1999-10-30
tt0317219,120000000,461983149,Cars,2006-06-08
tt0304141,130000000,789804554,Harry Potter and the Prisoner of Azkaban,2004-05-31
tt1323594,69000000,543513985,Despicable Me,2010-07-08
tt1411697,80000000,254455986,The Hangover Part II,2011-05-25
tt0477347,110000000,574480841,Night at the Museum,2006-10-20
tt0892791,165000000,752600867,Shrek Forever After,2010-05-16
tt1587310,180000000,758539785,Maleficent,2014-05-28
tt1298650,380000000,1045713802,Pirates of the Caribbean: On Stranger Tides,2011-05-14
tt0087332,30000000,295212467,Ghostbusters,1984-06-08
tt0315327,80000000,484572835,Bruce Almighty,2003-05-23
tt0259446,5000000,368744044,My Big Fat Greek Wedding,2002-02-22
tt3521164,150000000,695331111,Moana,2016-11-23
tt0317219,120000000,461983149,Cars,2006-06-08
tt1217209,185000000,538983207,Brave,2012-06-21
tt0117998,92000000,494471524,Twister,1996-05-10
tt0120363,90000000,497366869,Toy Story 2,1999-10-30
tt2109248,210000000,1091405097,Transformers: Age of Extinction,2014-06-25
tt0407304,132000000,591739379,War of the Worlds,2005-06-28
tt3183660,180000000,809342332,Fantastic Beasts and Where to Find Them,2016-11-16
tt0086960,15000000,316360478,Beverly Hills Cop,1984-01-25
tt0082971,18000000,389925971,Raiders of the Lost Ark,1981-06-12
tt0376994,210000000,459359555,X-Men: The Last Stand,2006-05-24
tt1623205,200000000,491868548,Oz the Great and Powerful,2013-03-07
tt0304141,130000000,789804554,Harry Potter and the Prisoner of Azkaban,2004-05-31
tt1905041,160000000,788679850,Fast & Furious 6,2013-05-21
tt1877832,250000000,747862775,X-Men: Days of Future Past,2014-05-15
tt0892791,165000000,752600867,Shrek Forever After,2010-05-16
tt1217209,185000000,538983207,Brave,2012-06-21
tt0376994,210000000,459359555,X-Men: The Last Stand,2006-05-24
tt0407304,132000000,591739379,War of the Worlds,2005-06-28
tt0086960,15000000,316360478,Beverly Hills Cop,1984-01-25
tt0974015,300000000,657924295,Justice League,2017-11-15
tt0910970,180000000,521311860,WALL·E,2008-06-22
tt1905041,160000000,788679850,Fast & Furious 6,2013-05-21
