imdb_id,date
tt0120917,2000-12-09
tt2446042,2014-12-16
tt1483013,2013-04-10
tt1142988,2009-07-24
tt4160708,2016-06-08
tt0134084,2000-02-03
tt0427229,2006-03-10
tt0814255,2010-02-01
tt1204342,2011-11-22
tt0454848,2006-03-17
tt0099088,1990-05-25
tt0137494,1999-04-29
tt0335438,2004-03-05
tt0104389,1992-01-10
tt0343135,2004-01-16
tt0114898,1995-07-28
tt0046183,1953-02-05
tt0089755,1985-12-20
tt0120661,1998-03-06
tt1935859,2016-09-28
tt0910936,2008-08-06
tt0102510,1991-06-28
tt1790886,2012-08-09
tt1850457,2015-12-18
tt0432348,2005-10-28
tt0098621,1989-12-08
tt2140479,2016-10-13
tt0072431,1974-12-15
tt0078767,1979-07-26
tt2096672,2014-11-12
tt0100404,1990-07-26
tt1823664,2014-12-19
tt4877122,2017-07-23
tt0377092,2004-04-30
tt0287717,2002-08-07
tt2974918,2015-12-17
tt0437086,2019-01-31
tt0190641,1998-07-18
tt0345950,2004-11-14
tt2713180,2014-10-15
tt0433035,2011-09-28
tt3717490,2017-03-23
tt0328880,2003-10-23
tt0083131,1981-06-25
tt0357413,2004-07-09
tt0077523,1978-12-19
tt6966692,2018-11-16
tt0090605,1986-07-18
tt0400717,2006-09-29
tt1764651,2012-08-08
tt0079817,1979-06-15
tt1536044,2010-10-20
tt0098384,1989-11-15
tt0112792,1995-08-11
tt2103254,2014-07-02
tt0069113,1972-12-13
tt1570728,2011-07-29
tt3411444,2017-12-09
tt0032910,1940-02-23
tt0452681,2006-11-01
tt3322940,2014-10-02
tt0106582,1993-05-28
tt0230011,2001-06-02
tt0331632,2004-03-24
tt2203939,2014-04-16
tt1193138,2009-09-05
tt0120902,1998-06-19
tt1646987,2012-03-27
tt1911658,2014-11-22
tt0105690,1992-10-08
tt2226417,2013-09-12
tt0078788,1979-08-15
tt6450186,2018-02-14
tt1217613,2011-03-08
tt1253864,2011-11-10
tt0095016,1988-07-15
tt2140373,2013-11-16
tt7343762,2019-08-14
tt0080339,1980-07-02
tt0105112,1992-06-04
tt6182908,2018-09-20
tt0388795,2005-09-10
tt0109635,1994-12-09
tt0985699,2008-12-25
tt0413895,2006-12-07
tt1860353,2013-07-11
tt0079945,1979-12-07
tt0099371,1990-06-27
tt0368578,2005-01-20
tt0369735,2005-05-13
tt0329101,2003-08-15
tt0452598,2005-12-21
tt0113862,1995-12-29
tt0101921,1991-12-27
tt1033575,2011-09-09
tt0103874,1992-11-13
tt0383216,2006-02-10
tt0442933,2007-11-05
tt1924435,2014-08-13
tt0187738,2002-03-22
tt0398808,2007-02-16
tt0078748,1979-05-25
tt4046784,2015-09-09
tt3949660,2016-06-01
tt6294822,2017-12-22
tt0077766,1978-06-16
tt0120784,1999-02-05
tt0077663,1978-06-28
tt0397313,2006-02-17
tt0066026,1970-01-24
tt0477080,2010-11-04
tt0134119,1999-12-25
tt0281373,2002-01-18
tt0332379,2003-10-03
tt2637276,2015-06-25
tt0087928,1984-03-22
tt0332280,2004-06-25
tt0112715,1995-06-09
tt0478087,2008-03-27
tt0268397,2001-12-21
tt0114924,1995-04-21
tt1222817,2011-07-06
tt0324216,2003-05-21
tt0099044,1990-06-08
tt0879870,2010-08-12
tt0093565,1987-12-18
tt1033643,2008-05-07
tt0370263,2004-08-12
tt0377818,2005-08-05
tt0120888,1998-02-13
tt0489270,2006-10-27
tt1051904,2015-08-05
tt0486822,2007-04-12
tt0457510,2006-06-16
tt2345759,2017-06-06
tt0489099,2008-02-13
tt0087277,1984-02-17
tt0989757,2010-02-04
tt1060277,2008-01-15
tt0790724,2012-12-20
tt2283336,2019-06-12
tt0448011,2009-03-19
tt0075265,1976-12-16
tt1077368,2012-05-08
tt1568911,2011-12-25
tt0091129,1986-12-12
tt0086567,1983-06-03
tt0970416,2008-12-10
tt1219289,2011-03-08
tt1114677,2009-04-10
tt0071455,1974-11-15
tt0084726,1982-06-04
tt4094724,2016-06-29
tt0095705,1988-12-02
tt0083511,1982-12-07
tt0101540,1991-11-15
tt0120632,1998-04-10
tt2120120,2015-07-16
tt0103060,1991-03-22
tt0212720,2001-06-29
tt0116209,1996-11-05
tt0471042,2011-11-02
tt0277434,2002-03-01
tt2177771,2014-01-24
tt0094889,1988-07-29
tt0077696,1978-07-28
tt6781982,2018-09-27
tt0983193,2011-10-25
tt0362227,2004-06-17
tt0101393,1991-05-24
tt0328107,2004-04-23
tt0428803,2005-01-26
tt0106965,1993-07-16
tt0107818,1993-12-22
tt0217505,2002-12-14
tt2567026,2016-05-25
tt0429493,2010-06-09
tt1047540,2012-12-25
tt0386117,2009-10-16
tt0141926,2000-04-20
tt0084516,1982-06-04
tt0139654,2001-10-05
tt0988595,2008-01-10
tt0088011,1984-03-30
tt0213203,2000-09-14
tt0113041,1995-12-08
tt1109624,2014-11-24
tt0032455,1940-11-13
tt1013743,2010-06-15
tt0088170,1984-06-01
tt0094226,1987-06-03
tt0088933,1985-06-21
tt0411477,2008-07-11
