name,year,rank,age,height
James Marsden,(2007),292,46,"5' 10"""
Timothy Olyphant,(2010-2015),293,51,"6' 0"""
Matthew Gray Gubler,(2009),294,,"6' 1"""
Jessica Chastain,(2012),295,42,"5' 4"""
Jon Grissom,(1988),296,,
Zoë Kravitz,(2015),297,31,"5' 2"""
Pamela Adlon,(2010-2015),298,53,"5' 0"""
Toni Collette,(2006),299,47,"5' 8"""
Alex Newell,(2013),300,,"5' 7"""
Taron Egerton,(2019),301,30,"5' 9"""
Zoe Saldana,(2009),302,41,"5' 6½"""
Santiago Cabrera,(2017-2019),303,41,"6' 0"""
Léa Seydoux,(2013),304,34,"5' 6"""
Sean Connery,(1987),305,89,"6' 2¼"""
Cole Sprouse,(2017-2020),306,27,"6' 0"""
Freddie Prinze Jr.,(1999),307,44,"6' 0"""
Olga Kurylenko,(2013),308,40,"5' 9"""
Amanda Crew,(2009),309,,"5' 9½"""
Joey King,(2019),310,,"5' 4"""
Sofia Boutella,(2016),311,37,"5' 5"""
Dan Levy,(2015-2020),312,,"5' 11"""
Harrison Ford,(1993),313,77,"6' 0"""
Ryan Hurst,(2000),314,43,"6' 5"""
Rose Byrne,(2015),315,40,"5' 6¼"""
Robin Wright,(1994),316,53,"5' 6"""
Megan Fox,(2007),317,33,"5' 4"""
Monica Bellucci,(2000),318,55,"5' 7½"""
Gillian Alexy,(2013-2015),319,,"5' 2"""
Kate Mara,(2015),320,37,"5' 2"""
Denzel Washington,(2016),321,65,"6' 1"""
Dylan O'Brien,(2011-2017),322,28,"5' 10¼"""
Ewan McGregor,(2001),323,48,"5' 9¾"""
Luke Evans,(2014),324,40,"6' 0"""
Winona Ryder,(1994),325,48,"5' 3½"""
Mia Jexen,(2013),326,36,"5' 5"""
Orlando Bloom,(2001),327,43,"5' 11"""
Adrianne Palicki,(2013),328,36,"5' 11"""
Kaley Cuoco,(2007-2019),329,34,"5' 6"""
Kate McKinnon,(2016),330,36,"5' 3½"""
Sophie Turner,(2011-2019),331,24,"5' 9"""
Janina Gavankar,(2018),332,,"5' 7"""
Hope Olaide Wilson,(2020),333,,"5' 2"""
Jaimie Alexander,(2011),334,36,"5' 9"""
Cate Blanchett,(2015),335,50,"5' 8¾"""
Shailene Woodley,(2014),337,28,"5' 8"""
Sue Ane Langdon,(1989),338,84,"5' 6"""
Evangeline Lilly,(2015),339,40,"5' 5"""
Famke Janssen,(2006),340,55,"5' 11½"""
Post Malone,(2018),341,24,"6' 0½"""
Missy Peregrym,(2006),342,37,"5' 5½"""
Arnold Schwarzenegger,(1987),343,72,"6' 2"""
Connie Nielsen,(2000),344,54,"5' 10¼"""
Sandra Bullock,(2009),345,55,"5' 7½"""
Martin Scorsese,(1976),346,77,"5' 4"""
Robin Williams,(1951–2014),348,68,"5' 7"""
Jason Statham,(2006),349,52,"5' 10"""
Steve Carell,(2005-2013),350,57,"5' 9"""
Bill Skarsgård,(2017),351,29,"6' 3¾"""
Brendan Fraser,(1999),352,51,"6' 3"""
Leigh Whannell,(2004),353,43,"5' 6¾"""
Colleen Camp,(1985),354,66,"5' 2½"""
Kiernan Shipka,(2009),355,20,"5' 2"""
Alexander Ludwig,(2014-2020),356,27,"6' 2"""
Christina Ricci,(2006),358,40,"5' 1"""
Jonathan Groff,(2013),359,34,"5' 11"""
Lyndsy Fonseca,(2010),360,33,"5' 5"""
Jon Favreau,(2014),361,53,"6' 1"""
Liv Tyler,(1998),362,42,"5' 9½"""
Annabella Sciorra,(1992),363,59,"5' 2"""
Mila Kunis,(2010),364,36,"5' 4"""
Jonathan Del Arco,(2007-2012),365,,"5' 7"""
Gerard Butler,(2004),366,50,"6' 2"""
Idina Menzel,(2013),367,48,"5' 4"""
Felicity Jones,(2016),368,36,"5' 3"""
Alejandra Reynoso,(2017-2020),369,,"5' 5"""
Jon Bernthal,(2013),370,43,"5' 11"""
Dustin Hoffman,(1982),371,82,"5' 5¾"""
Blake Lively,(2007-2012),372,32,"5' 10"""
Imogen Poots,(2015),373,30,"5' 4½"""
Necar Zadegan,(2010),374,,"5' 8½"""
Dakota Johnson,(2015),375,30,"5' 7½"""
Marion Cotillard,(2007),376,44,"5' 6¾"""
Kirsten Dunst,(2002),377,37,"5' 7"""
Juno Temple,(2007),378,30,"5' 2"""
Katee Sackhoff,(2004-2009),379,39,"5' 6"""
Tika Sumpter,(2016),380,39,"5' 7"""
Bill Nighy,(2003),381,70,"6' 0½"""
Toby Kebbell,(2015),382,37,"6' 1"""
Anthony Mackie,(2008),383,41,"5' 10¼"""
Hayley Atwell,(2011),384,37,"5' 6½"""
Adria Arjona,(2018),385,,"5' 7"""
David Harbour,(2019),386,44,"6' 3"""
Daniel Day-Lewis,(2007),387,62,"6' 1¾"""
Emily Swallow,(2017-2018),388,,"5' 7"""
Annabelle Wallis,(2017),389,,"5' 7"""
Thandie Newton,(2004),390,47,"5' 3"""
Milla Jovovich,(1997),391,44,"5' 8¾"""
Carrie-Anne Moss,(1999),392,52,"5' 8½"""
Melissa Benoist,(2015-2020),393,31,"5' 8"""
Sam Claflin,(2013),395,33,"5' 11"""
Juliette Binoche,(1996),396,56,"5' 6"""
Mae Whitman,(2012),397,31,"5' 2"""
Justice Smith,(2015),398,24,"5' 10"""
Harry Treadaway,(2013),399,35,"5' 10¼"""
Jennifer Love Hewitt,(1997),400,41,"5' 2"""
Anton Yelchin,(1989–2016),401,31,"5' 9"""
Claire Danes,(1994-1995),402,40,"5' 5½"""
Jennifer Ehle,(2012),403,50,"5' 7"""
Marc Maron,(2013-2016),404,56,"5' 9"""
Hilary Swank,(1999),405,45,"5' 6"""
Alia Shawkat,(2003-2019),406,30,"5' 5"""
Jeannie Berlin,(1972),407,70,
Carrie Underwood,(2011),408,37,"5' 3"""
Jessie Buckley,(2018),409,30,"5' 7"""
Bel Powley,(2015),410,,"5' 2"""
Oscar Isaac,(2014),411,41,"5' 8½"""
Sofia Bryant,(2018),412,,"5' 4¼"""
Sarah Chalke,(2001-2010),413,43,"5' 8"""
Elizabeth Lail,(2018-2019),414,27,"5' 8"""
Christopher Plummer,(2010),415,90,"5' 10½"""
Diego Luna,(2016),416,40,"5' 10"""
Olivia Taylor Dudley,(2015-2020),417,,"5' 3"""
Amanda Seyfried,(2012),418,34,"5' 2½"""
Ayça Aysin Turan,(2018-2019),419,27,"5' 8¼"""
Aya Cash,(2014-2019),420,,
Patrick Stewart,(2017),421,79,"5' 10"""
Jennifer Grey,(1987),422,59,"5' 3"""
Lizzy Caplan,(2008),423,37,"5' 4"""
Gugu Mbatha-Raw,(2013),424,36,"5' 4"""
Norman Reedus,(2010-2020),425,51,"5' 10"""
Julia Roberts,(1990),426,52,"5' 9"""
Jonathan Banks,(2017),427,73,"5' 8½"""
Judy Garland,(1922–1969),428,97,"4' 11½"""
Erin Moriarty,(2016),429,25,"5' 6"""
Cierra Ramirez,(2012),430,,"5' 1"""
Mélanie Laurent,(2009),431,37,"5' 2"""
Minka Kelly,(2009),432,,"5' 5"""
Rosario Dawson,(2005),433,40,"5' 7"""
Saul Rubinek,(1992),434,,"5' 6"""
Tom Hiddleston,(2012),435,39,"6' 2¼"""
Julia Stiles,(1999),436,38,"5' 7"""
Bradley Cooper,(2018),437,45,"6' 1"""
Rachel Nichols,(2009),438,40,"5' 10"""
Aubrey Plaza,(2012),439,35,"5' 6"""
Lenora Crichlow,(2012),440,35,"5' 5½"""
Darby Stanchfield,(2012-2018),441,,"5' 7"""
Aaron Eckhart,(2008),442,52,"5' 11"""
Julia Garner,(2011),443,26,"5' 5"""
Rachel Bloom,(2015-2019),444,32,"5' 3"""
Michelle Williams,(2010),445,39,"5' 4"""
Jesús Mosquera,(2019),446,,
Zac Efron,(2008),447,32,"5' 8"""
Ashley Johnson,(2012),448,,"5' 5"""
Cobie Smulders,(2012),449,37,"5' 8"""
Sophie Skelton,(2016-2020),450,,"5' 7"""
Phoebe Waller-Bridge,(2018),451,34,"5' 9¾"""
Michelle Pfeiffer,(2000),452,61,"5' 7½"""
Katherine Langford,(2019),453,,"5' 5½"""
