name,year,rank,age,height
Keegan Allen,(2010-2017),"9,169",30,"6' 1¼"""
Merritt Butrick,(1959–1989),"9,170",60,"6' 1"""
Cody Kearsley,(2017-2020),"9,171",29,"6' 2"""
Mimi Ndiweni,(2016),"9,172",,"5' 8"""
Mercedes McCambridge,(1916–2004),"9,173",104,"5' 3"""
Judah Friedlander,(2005),"9,174",,"5' 9"""
Christiana Leucas,(2013),"9,175",,"5' 5"""
Bryce Robinson,(2010),"9,176",20,"5' 8"""
Rachel Roberts,(2017),"9,177",,"5' 9"""
Demetrius Grosse,(2018),"9,178",39,"6' 2"""
Tinsel Korey,(2009),"9,179",,"5' 6"""
Honor Kneafsey,(2015),"9,180",15,
John Doe,(1989),"9,181",67,
Tammin Sursok,(2010-2017),"9,182",36,"5' 5"""
Jenessa Grant,(2017-2019),"9,183",,
Neil Casey,(2016),"9,184",,"5' 9"""
Kendall Jenner,(2018),"9,186",24,"5' 9½"""
Myra McFadyen,(2008),"9,187",,"5' 1"""
Ayushi Chhabra,(2020),"9,188",,
Evan Jonigkeit,(2014),"9,190",,
Dub Taylor,(1907–1994),"9,191",113,"5' 8"""
Paula Jai Parker,(2005),"9,192",50,"5' 2"""
Joy Behar,(2012),"9,193",77,"5' 6"""
Almayvonne,(2016),"9,194",,
Jan Smithers,(1978-1982),"9,195",70,"5' 7"""
Darius McCrary,(1989-1998),"9,196",43,"6' 3"""
Eric Schweig,(1992),"9,197",52,"6' 2"""
Anikka Albrite,(2014),"9,198",31,"5' 6"""
Paul Mercurio,(1992),"9,199",56,
Lucien Laviscount,(2017),"9,200",27,"5' 9"""
Krzysztof Kieslowski,(1941–1996),"9,201",78,"6' 0½"""
James Doohan,(1920–2005),"9,202",100,"5' 8"""
David Naughton,(1981),"9,203",69,"5' 10½"""
Peter Macon,(2017-2020),"9,204",,"5' 11"""
Rick Springfield,(1973),"9,205",70,"6' 2"""
Jimmy Workman,(1991),"9,206",39,"5' 10"""
Gia Carides,(2002),"9,207",55,"5' 0½"""
Fred Clark,(1914–1968),"9,208",106,"6' 1"""
Marine Vacth,(2013),"9,209",28,"5' 7½"""
Kelly Adams,(2008),"9,210",40,"5' 4"""
Kurt Fuller,(2011),"9,211",66,"6' 2¼"""
Wayne Rogers,(1933–2015),"9,212",86,"6' 3½"""
Paul Lynde,(1926–1982),"9,213",93,"5' 11"""
Robert Wisdom,(2012),"9,214",66,"6' 1"""
Gretchen Corbett,(1974-1978),"9,215",74,"5' 5"""
Benjamin Salisbury,(1992),"9,216",39,"5' 7"""
Arden Cho,(2014-2016),"9,217",,"5' 3"""
Ryan Simpkins,(2009),"9,218",21,"5' 6"""
Gregory Scott Cummins,(1993),"9,219",63,"6' 4"""
Lynsey Bartilson,(2001-2005),"9,220",36,"5' 3"""
Robson Green,(1997-1999),"9,221",55,"5' 7½"""
Rudy Youngblood,(2006),"9,222",37,"5' 11"""
Anushka Sharma,(2012),"9,223",31,"5' 6¼"""
Tammy Macintosh,(2015-2019),"9,224",50,"5' 4¾"""
Trevor Eve,(2000-2011),"9,225",68,"6' 0"""
Mo'Nique,(2009),"9,226",52,"5' 6½"""
Elarica Johnson,(2009),"9,227",,"5' 9½"""
Susy Kane,(2019),"9,228",,"5' 6½"""
Chanel Preston,(2017),"9,229",34,"5' 8¼"""
Kim McGuire,(1955–2016),"9,230",64,"5' 5"""
Camille Keaton,(1978),"9,231",72,"5' 6½"""
Miriam McDonald,(2001-2010),"9,232",32,"5' 6½"""
Natalie Sharp,(2018),"9,233",,
Edy Williams,(1970),"9,234",78,"5' 7"""
Chris Young,(1988),"9,235",48,
Robert Morse,(1967),"9,236",88,"5' 5"""
Khamani Griffin,(2003),"9,237",21,"5' 9"""
Barbara Pepper,(1915–1969),"9,238",104,"5' 3½"""
Julia Dietze,(2012),"9,239",39,"5' 5½"""
Larry Romano,(1989),"9,240",56,"5' 9"""
Madelyn Deutch,(2018),"9,242",28,"5' 5"""
Simon MacCorkindale,(1952–2010),"9,243",68,"5' 11½"""
Karen Carlson,(1999),"9,244",75,
Lee Ving,(1983),"9,245",69,"5' 7½"""
Mariah Carey,(2009),"9,246",49,"5' 8"""
Joan Jett,(1987),"9,247",61,"5' 5"""
Jack Farthing,(2015-2019),"9,248",,"5' 8"""
Allison Paige,(2016),"9,249",,"5' 5"""
Yael Eitan,(2019),"9,250",,"5' 3"""
Sylvia Syms,(2006),"9,251",86,
Aaron Yoo,(2008),"9,252",,"5' 7½"""
Joanna Douglas,(2015),"9,253",36,
Olivia Liang,(2020),"9,254",,
Kelly McCormack,(2018),"9,255",,"5' 5"""
Mariangela Melato,(1941–2013),"9,256",78,"5' 5¾"""
Bresha Webb,(2016),"9,257",,
Gregory Cruz,(2016),"9,258",,
Divine,(1945–1988),"9,260",74,"6' 2"""
Annabelle Attanasio,(2019),"9,261",,
Andy Bean,(2018),"9,262",,"5' 10"""
Dana Ivey,(1995),"9,263",78,
Debra Stipe,(2017),"9,264",,
Nicole Steinwedell,(2009),"9,265",,"5' 11"""
Joshua Sasse,(2016-2017),"9,266",32,"6' 0"""
Lily Travers,(2014),"9,267",,"5' 5"""
Sasha Jenson,(1993),"9,268",55,
Olivia Lucy Phillip,(2020),"9,270",,
Joe Adler,(2014),"9,271",,"6' 0"""
Laura Howard,(1997-2011),"9,272",42,
Didi Conn,(1978),"9,273",68,"5' 4½"""
Howie Mandel,(1990-1998),"9,274",64,"5' 9¾"""
Mira Furlan,(1993-1998),"9,275",64,"5' 6"""
Gabriella Martinez,(2020),"9,276",,
Omri Katz,(1993),"9,278",43,"5' 10"""
Ireland Baldwin,(2013),"9,279",24,"6' 0¼"""
Tyler Blackburn,(2011-2017),"9,280",,"5' 10½"""
Juan Pablo Raba,(2018),"9,281",43,"6' 0½"""
Brady Corbet,(2007),"9,282",31,"5' 9"""
Pia Zadora,(1983),"9,283",65,"5' 0"""
Briana Banks,(2019),"9,284",41,"5' 9"""
Sting,(2000),"9,285",68,"5' 11½"""
Rahul Kohli,(2017-2019),"9,286",,"6' 4"""
Jimmie Walker,(1974-1979),"9,287",72,"6' 1"""
Skai Jackson,(2011),"9,288",17,"5' 2¼"""
Luke Roberts,(2011),"9,289",,"6' 0½"""
Neil Gaiman,(2019),"9,290",59,"5' 10"""
Mick Torres,(2014),"9,291",,
Kandi Burruss,(2000),"9,292",43,"5' 2½"""
Hyuk Jang,(2004),"9,293",43,"5' 8½"""
Mark Benton,(2003),"9,294",54,"5' 11"""
Jeremy Clarkson,(2002-2018),"9,295",59,"6' 5"""
Jake Hoffman,(2013),"9,296",39,"5' 6"""
Danielle Moné Truitt,(2017),"9,297",,"5' 6"""
Erinn Bartlett,(2006),"9,298",47,"5' 7"""
Nishi Munshi,(2017),"9,299",,"5' 5"""
Whitney Moore,(2010),"9,300",30,"5' 5"""
Tyler Ritter,(2015),"9,301",35,"6' 1"""
John Colicos,(1928–2000),"9,302",91,"5' 10"""
Steven Culp,(2000),"9,303",64,"5' 10½"""
Rachel True,(1996),"9,304",53,"5' 3"""
Jake Thomas,(2001),"9,305",,"5' 8"""
Ellar Coltrane,(2014),"9,306",25,"5' 9½"""
Farley Granger,(1925–2011),"9,307",94,"5' 9½"""
Dirk Bogarde,(1921–1999),"9,308",98,"5' 8½"""
Russell Wong,(2000),"9,310",,"6' 0¾"""
Robert Lansing,(1928–1994),"9,311",91,"6' 0"""
Tammy Lauren,(1997),"9,312",51,"5' 4"""
Robert Reed,(1932–1992),"9,313",87,"6' 3"""
Victoria Tennant,(1991),"9,315",69,"5' 5"""
Aaron Stanford,(2015-2018),"9,316",43,"5' 7½"""
David DeLuise,(2007-2012),"9,317",48,"5' 10½"""
Mary Woronov,(1984),"9,318",76,"5' 11"""
Sean Marquette,(2004),"9,319",31,"5' 9"""
David Dobrik,(2015-2019),"9,320",23,"5' 9"""
Katy Wix,(2009),"9,321",40,"5' 8½"""
Roberts Blossom,(1924–2011),"9,322",95,"6' 1"""
Sydney Park,(2019),"9,323",,"5' 5"""
Giselle Eisenberg,(2015-2019),"9,324",,"4' 8"""
Frances Dee,(1909–2004),"9,325",110,"5' 4½"""
Sammo Kam-Bo Hung,(2008),"9,326",68,"5' 7"""
MacKenzie Meehan,(2018-2020),"9,327",,
Iina Kuustonen,(2012),"9,328",35,"5' 3½"""
Clark Backo,(2017-2018),"9,329",,
Edmond O'Brien,(1915–1985),"9,330",104,"5' 9"""
Dan Duryea,(1907–1968),"9,331",113,"6' 2"""
Nelson Franklin,(2012-2019),"9,332",,"6' 5"""
Hallie Todd,(2001-2004),"9,333",58,"5' 3"""
Billy Postlethwaite,(2018),"9,334",30,"6' 2"""
Ashley Argota,(2014-2015),"9,336",27,"5' 3"""
Nikki Benz,(2013),"9,337",38,"5' 4½"""
Max Gail,(2013),"9,338",76,"6' 0"""
Joshua Bassett,(2017),"9,340",,"5' 11"""
Richard Boone,(1917–1981),"9,341",102,"6' 0"""
Fran Ryan,(1916–2000),"9,342",103,
Goran Bogdan,(2020),"9,343",39,"6' 2"""
Garrett Clayton,(2016),"9,344",,"5' 8"""
Jonathan Roumie,(2019),"9,345",,
Barry Van Dyke,(1993-2001),"9,346",,"6' 1"""
Roy Dupuis,(1997-2001),"9,347",56,"5' 11"""
Andrew Shue,(1997),"9,348",53,"5' 8"""
Gunnar Björnstrand,(1909–1986),"9,350",110,"6' 2"""
Susanna Hoffs,(2002),"9,351",61,"5' 0½"""
Bruce Glover,(1974),"9,352",87,
Ward Bond,(1903–1960),"9,353",116,"6' 2"""
Mitzi Kapture,(2017),"9,354",,"5' 4"""
Lori Saunders,(1965-1970),"9,355",78,"5' 5"""
Jeremy Ray Taylor,(2017),"9,356",,"5' 2"""
Joseph Cotten,(1905–1994),"9,357",114,"6' 2"""
Neil Dudgeon,(2007),"9,358",59,"5' 10"""
Alberta Watson,(1955–2015),"9,359",65,"5' 8"""
Brian George,(2016),"9,360",67,
Leon Rippy,(2002),"9,361",70,
Michael Greyeyes,(2019),"9,362",52,"6' 2"""
Geoffrey Palmer,(1997),"9,363",92,"5' 11¼"""
Scott Brady,(1924–1985),"9,364",95,"6' 2"""
Ciara Renée,(2015),"9,365",29,"5' 8"""
Randy Wayne,(2011),"9,366",,"5' 10¼"""
Melissa Moore,(2017),"9,367",23,"5' 4"""
Jadyn Wong,(2014-2018),"9,368",,
Virginia Gregg,(1916–1986),"9,369",104,"5' 9"""
Viveca Paulin,(1997),"9,370",50,"5' 9"""
Fiona Lewis,(1987),"9,371",73,
Kathy Kiera Clarke,(2002),"9,372",,
Joey Cramer,(1986),"9,373",46,"6' 3"""
Natasha Rothwell,(2014-2015),"9,374",,
Iman,(1991),"9,375",64,"5' 9"""
Marianne Rendón,(2017-2018),"9,376",,
Jacqueline Fernandez,(2009),"9,377",34,"5' 4"""
Bill Hudson,(1983),"9,378",70,
Rainer Werner Fassbinder,(1945–1982),"9,379",74,"5' 9½"""
Dave Coulier,(2016-2019),"9,380",60,"5' 11"""
Dale Midkiff,(1989),"9,381",60,"6' 2¼"""
Denny Dillon,(2002),"9,382",68,"4' 11"""
Damien C. Haas,(2017),"9,383",,"5' 11"""
Anouk Aimée,(1966),"9,384",87,"5' 7"""
Dominic Burgess,(2017),"9,386",37,"6' 5"""
Colin Cunningham,(2011-2015),"9,387",53,"5' 10"""
Taissia Shanti,(2016-2018),"9,388",27,"5' 5½"""
Bre-Z,(2015-2019),"9,390",,
Phillip Rhys,(2002-2003),"9,391",,"6' 1"""
Stephen Colbert,(2005-2014),"9,392",55,"5' 11"""
Jessica Drake,(2004),"9,393",45,"5' 8"""
Jay North,(1959-1963),"9,394",68,"5' 7"""
Adele Mara,(1923–2010),"9,395",96,
Dennis Christopher,(1979),"9,396",64,"5' 11"""
Sophie Lowe,(2019),"9,397",,"5' 7"""
Julie Hesmondhalgh,(1998-2014),"9,398",50,"5' 4"""
Jesse Jane,(2008),"9,399",39,"5' 3"""
Kristin Minter,(1995-2003),"9,400",,"5' 8"""
Anna Belknap,(2005-2013),"9,401",47,"5' 3"""
Tilda Cobham-Hervey,(2018),"9,402",,
Nora Kirkpatrick,(2013),"9,403",,"5' 10"""
Morgana Robinson,(2017),"9,404",,"5' 9"""
Marisa Berenson,(1972),"9,405",73,"5' 8"""
Samantha Ruth Prabhu,(2010),"9,406",32,"5' 2¼"""
Diablo Cody,(2007),"9,407",41,"5' 5½"""
Jerry Reed,(1937–2008),"9,408",83,"6' 0½"""
Garrett Wang,(1995-2001),"9,409",51,"5' 11"""
Julia Minesci,(2008-2010),"9,410",,"5' 7"""
Erykah Badu,(1999),"9,411",49,"5' 0"""
Burton Gilliam,(1974),"9,412",81,
Violet McGraw,(2018),"9,413",,"4' 4"""
Nora von Waldstätten,(2016),"9,414",38,"5' 4¼"""
Daniel Cudmore,(2006),"9,415",39,"6' 7"""
Peggie Castle,(1927–1973),"9,416",92,"5' 7"""
Trevor Jackson,(2018),"9,417",,"6' 2"""
Ian Gomez,(2002),"9,418",55,"5' 8½"""
Amy Hill,(2004),"9,419",66,
Dylan Moran,(2000-2004),"9,420",48,"5' 11"""
Nicole Power,(2016-2020),"9,421",,
Andrea Elson,(1986-1990),"9,422",51,"5' 6"""
Tia Texada,(2002-2005),"9,424",,"5' 5"""
Karen Steele,(1931–1988),"9,425",89,"5' 6"""
Joseph Bottoms,(1974),"9,426",,"6' 0"""
Shani Atias,(2017),"9,427",,"5' 7"""
Karen Austin,(1985),"9,428",64,
Pat Woodell,(1944–2015),"9,429",75,"5' 5½"""
Christopher Mitchum,(1972),"9,430",76,"6' 1"""
Natalia Cordova-Buckley,(2017),"9,431",,"5' 6"""
Hermione Norris,(2006-2009),"9,432",53,"5' 7"""
Joe Spano,(1995),"9,433",73,"5' 10"""
Galyn Görg,(1990),"9,434",,"5' 7"""
David Janssen,(1931–1980),"9,435",88,"6' 0"""
Lalaine,(2010),"9,437",32,"5' 3"""
Kellie Overbey,(2012),"9,438",,
Christina Bennett Lind,(2017),"9,439",36,"5' 6"""
Warren Christie,(2011),"9,440",44,"6' 1½"""
Robert Downey Sr.,(1985),"9,441",83,"6' 3"""
Buck Taylor,(2011),"9,442",81,"6' 0"""
Don Harvey,(2017-2019),"9,443",,"5' 9½"""
James Morrison,(2005-2009),"9,444",65,"5' 11"""
Francine York,(1936–2017),"9,445",83,"5' 8"""
Stefan Kapicic,(2016),"9,446",41,"6' 4½"""
Alan Ladd,(1913–1964),"9,447",106,"5' 6¼"""
Ray Fisher,(2016),"9,448",,"6' 3¼"""
Trent Reznor,(2010),"9,449",54,"5' 7½"""
Rob Estes,(1991-1995),"9,450",,"5' 11"""
Genevieve Gaunt,(2019),"9,451",,"5' 7"""
Michael Lembeck,(1995-2000),"9,452",71,
Keenan Wynn,(1916–1986),"9,453",103,"5' 10"""
Romann Berrux,(2016-2017),"9,454",18,"5' 3"""
Michael Dudikoff,(1988),"9,455",,"6' 0"""
Felissa Rose,(1983),"9,456",50,"5' 4"""
Dennis Lehane,(2003),"9,457",54,
Shawn Pyfrom,(2004-2012),"9,458",33,"5' 9"""
Renata Notni,(2008-2009),"9,459",25,
Margaux Hemingway,(1954–1996),"9,460",66,"6' 0"""
Leon Russom,(2018),"9,461",78,"5' 9"""
Angela Watson,(1991-1998),"9,462",,"5' 4"""
Eugene Cordero,(2017),"9,463",,"5' 7½"""
Mason Cook,(2016-2019),"9,464",19,"6' 1"""
Shawn Bradley,(1996),"9,465",47,"7' 6"""
Jason Mitchell,(2015),"9,466",,"5' 5½"""
Daren Kagasoff,(2014),"9,467",,
Susan Olsen,(1969-1974),"9,468",58,"5' 4"""
Steven Hill,(1922–2016),"9,469",98,"5' 11½"""
Ramon Rodriguez,(2009),"9,470",40,"5' 11"""
Nico Parker,(2019),"9,471",,
Kimmy Robertson,(1991),"9,472",65,"5' 2"""
Fred Dryer,(1984-1991),"9,473",73,"6' 6"""
Brenda Fricker,(1989),"9,474",75,"5' 6"""
Gloria Votsis,(2012),"9,475",41,"5' 7"""
Conan Stevens,(2014),"9,476",,"7' 0"""
Carla Juri,(2017),"9,477",,"5' 8"""
Sophie Simmons,(2006-2012),"9,478",,"5' 7½"""
Libe Barer,(2015-2019),"9,479",,
Josh Henderson,(2006),"9,480",,"5' 10"""
Jody McCrea,(1934–2009),"9,481",85,"6' 3"""
Anna Karina,(1940–2019),"9,482",79,"5' 7¾"""
Justin Walker,(1995),"9,483",,"5' 6½"""
John Vernon,(1932–2005),"9,485",88,"6' 2"""
Georgia Hardstark,(2017),"9,486",,
Madeleine Mantock,(2018-2020),"9,487",29,"5' 8¼"""
Marian Saastad Ottesen,(2016-2020),"9,488",44,"5' 7¾"""
Sarah Rose Karr,(1990),"9,489",35,
Mary-Margaret Humes,(1998-2003),"9,490",,"5' 5"""
Ricardo Darín,(2009),"9,491",63,"5' 7¾"""
Marta Dusseldorp,(2013-2018),"9,493",,"5' 9"""
Freya Tingley,(2013),"9,494",,"5' 2"""
Giannina Facio,(2008),"9,495",64,
Sammy Davis Jr.,(1925–1990),"9,496",94,"5' 3½"""
Shi Ne Nielson,(2014-2015),"9,497",,
Fiona Rene,(2016-2017),"9,499",,"5' 3"""
Maria Schell,(1926–2005),"9,500",94,
Harvey Guillén,(2013),"9,501",,
Mary Badham,(1962),"9,502",67,
Patricia Quinn,(1975),"9,503",75,"5' 4"""
Nigel Hawthorne,(1929–2001),"9,504",90,"5' 11½"""
Poppy Corby-Tuech,(2018),"9,505",,
Hailey Gates,(2019),"9,506",,
Scott Evans,(2009),"9,507",36,
Rome Flynn,(2018-2019),"9,508",,"5' 9"""
Bianca de la Garza,(2015),"9,509",,
Glynis Barber,(2015),"9,510",64,"5' 6"""
Britt McKillip,(2008),"9,511",29,"5' 7"""
Richard Herd,(1976),"9,512",87,"5' 11"""
Mae West,(1892–1980),"9,513",127,"5' 0"""
Lydia Hull,(2013),"9,514",,"5' 9"""
Sonja Bennett,(2018),"9,515",39,"5' 7"""
Hartley Sawyer,(2017-2020),"9,516",,"6' 3½"""
Lisa Todd,(1973),"9,517",75,"5' 9"""
Tom Wopat,(1979-1985),"9,518",68,"6' 0"""
Ranveer Singh,(2019),"9,519",34,"5' 8"""
Terry Kinney,(1997-2003),"9,520",,"6' 0"""
Chris Coy,(2017-2019),"9,521",,"6' 0"""
Jeffrey Vincent Thompson,(2016),"9,522",,
Hynden Walch,(2010-2018),"9,524",,"5' 2½"""
Terrence 'T.C.' Carson,(2003),"9,525",61,"5' 9"""
Tara Lipinski,(2000),"9,526",37,"5' 1"""
David Haig,(2007),"9,527",64,"5' 9"""
Michael Gladis,(2007-2012),"9,528",,"6' 2"""
Michele Scarabelli,(1989),"9,529",,
Carole Davis,(1998),"9,530",,"5' 4"""
Joanne Dru,(1922–1996),"9,531",98,"5' 5½"""
Tanya Haden,(2008),"9,532",48,
Samantha Spiro,(2016),"9,533",51,"5' 6"""
Greg Ellis,(2003),"9,534",,"6' 0¼"""
Louise Delamere,(1995),"9,535",50,"5' 7"""
Megan Burns,(2002),"9,536",33,"5' 2"""
Kimberley Sustad,(2018),"9,537",,
Jenna von Oÿ,(1990-1995),"9,538",42,"5' 0"""
Nikki Griffin,(2006),"9,539",,"5' 4"""
Misha Cross,(2019),"9,541",30,"5' 6"""
John Forsythe,(1918–2010),"9,542",102,"5' 11"""
Lorene Scafaria,(2019),"9,543",,"5' 2"""
Joss Stone,(2006),"9,545",32,"5' 10"""
Adam Hann-Byrd,(1991),"9,546",38,
Rebecca Gibney,(2016-2018),"9,547",55,"5' 7"""
Darby Camp,(2017-2019),"9,548",,
Shakira Caine,(1975),"9,549",73,
Kelly Kruger,(2002-2019),"9,550",,"5' 5"""
Lara Jill Miller,(1981-1987),"9,551",,"5' 2"""
Vincent Piazza,(2014),"9,552",43,"5' 11"""
Madeline Smith,(1973),"9,553",70,"5' 6"""
Lavell Crawford,(2011-2013),"9,554",,"5' 10"""
Joseph Vijay,(2012),"9,555",45,"5' 10¼"""
Russell Todd,(1990-1999),"9,556",62,
Zhu Zhu,(2012),"9,557",,
Ava Preston,(2014-2016),"9,558",,
Calli Taylor,(2019),"9,559",,"5' 7"""
Angela Zhou,(2015-2016),"9,560",,
Michael Byrne,(1989),"9,561",76,"5' 9½"""
T.K. Carter,(1982),"9,562",63,"6' 1"""
George Montgomery,(1916–2000),"9,563",103,"6' 3"""
Mirrah Foulkes,(2010),"9,564",,
Alex Hassell,(2015),"9,565",,
Karen Kilgariff,(2002),"9,566",49,
Kayla Compton,(2019-2020),"9,568",,"5' 1"""
Robyn Malcolm,(2005-2010),"9,569",,"5' 4"""
Charles Malik Whitfield,(2001),"9,570",47,"6' 0½"""
Scott Michael Campbell,(2005),"9,571",,
Keenen Ivory Wayans,(1990-2006),"9,572",61,"6' 3"""
Reed Diamond,(1995-1998),"9,573",,"6' 1"""
Samantha Sloyan,(2016),"9,574",,
Sarah Sutherland,(2012-2019),"9,575",32,"5' 4"""
Virginia Field,(1917–1992),"9,576",102,"5' 10"""
Gail Edwards,(1983),"9,577",,
Pamela Gidley,(1965–2018),"9,578",54,"5' 7"""
Sarah Brown,(2005),"9,579",,"5' 5"""
Steve Antin,(1985),"9,580",61,"5' 8"""
Laurel Holloman,(2004-2009),"9,581",48,"5' 7"""
Cory Michael Smith,(2018),"9,582",,"6' 0½"""
Terry Funk,(1989),"9,583",75,"6' 1"""
Judi Meredith,(1936–2014),"9,584",83,"5' 2"""
Aramis Knight,(2015-2019),"9,585",20,"5' 8"""
William Boyett,(1927–2004),"9,586",93,
Anneliese van der Pol,(2010),"9,587",35,"5' 4"""
Poppy Liu,(2019),"9,588",,
Elaine Joyce,(1980),"9,589",74,
Roger Rees,(1944–2015),"9,590",75,"5' 11½"""
Christine Adams,(2005),"9,591",,"5' 8"""
Marsha Hunt,(1940),"9,592",102,"5' 6"""
Fatih Akin,(2017),"9,593",46,
Columbus Short,(2010),"9,594",37,"5' 9"""
Paloma Faith,(2015),"9,595",38,"5' 3"""
Jane Greer,(1924–2001),"9,596",95,"5' 5"""
Michael Constantine,(2002),"9,597",92,"5' 7"""
Anne Parillaud,(1990),"9,598",59,"5' 6¼"""
Cody Linley,(2006-2010),"9,599",30,"5' 10"""
Kevin McCormick,(2020),"9,600",,
Claudia Karvan,(2004-2007),"9,601",47,"5' 5½"""
Charlie Murphy,(1959–2017),"9,602",60,"6' 1"""
Mike Doyle,(2015),"9,603",,"5' 9"""
Chris Makepeace,(1979),"9,604",55,"5' 9"""
Jessa Rhodes,(2017),"9,605",26,"5' 6"""
Jaime Alvarez,(2020),"9,606",,
Gildart Jackson,(2006-2011),"9,607",,"6' 3"""
Lil Peep,(1996–2017),"9,608",23,"6' 1"""
Kate Liquorish,(2015),"9,609",,"5' 7"""
Faizon Love,(1995),"9,610",51,"5' 10"""
Jack O'Halloran,(1980),"9,611",76,"6' 6"""
Kaley Wheless,(2019),"9,612",,"5' 3"""
Stanislav Yanevski,(2005),"9,613",34,"5' 10"""
Kevin Weisman,(2001-2006),"9,615",,"5' 8"""
Diahnne Abbott,(1976),"9,616",74,
Thure Lindhardt,(2015-2018),"9,617",45,"5' 11¾"""
Kyle Allen,(2016),"9,618",,
Drew Seeley,(2012),"9,619",37,"5' 11"""
Aliyah O'Brien,(2016),"9,620",,"5' 9½"""
Lee Ross,(2010),"9,621",48,
Aitana Sánchez-Gijón,(2004),"9,622",51,"5' 5½"""
Dan Lauria,(2008),"9,623",72,"5' 11½"""
Caroline Rhea,(2005),"9,624",55,"5' 8"""
Tom Goodman-Hill,(2015),"9,625",51,"6' 0"""
Haviland Morris,(1984),"9,626",60,"5' 7"""
Robert Rusler,(1985),"9,627",54,"6' 1"""
Henry Simmons,(2014),"9,628",,"6' 4"""
Julie Condra,(1995),"9,629",49,"5' 7"""
Teyana Taylor,(2016),"9,630",,
Molly Burnett,(2017-2019),"9,631",,
Susan Wokoma,(2019),"9,632",,"5' 4"""
Gloria Foster,(1933–2001),"9,633",86,
Diego Cataño,(2019-2020),"9,634",29,
Bobby Moynihan,(2008-2017),"9,635",43,"5' 7"""
Ed Begley,(1901–1970),"9,636",118,"5' 7"""
Devan Long,(2019),"9,637",,"6' 4"""
Fred Tatasciore,(2004),"9,638",51,"6' 1"""
Gary Lockwood,(1968),"9,639",83,"6' 0½"""
Clare Bowen,(2012-2018),"9,640",,"5' 2"""
Debs Howard,(2015),"9,641",,"5' 6"""
Rosalind Halstead,(2005),"9,642",35,"5' 10¼"""
Zoe Telford,(2017),"9,643",,"5' 3"""
Chynna Phillips,(2011),"9,644",52,"5' 8"""
Davy Jones,(1945–2012),"9,645",74,"5' 3"""
Kellita Smith,(2001-2006),"9,646",51,"5' 10"""
Jerry Hall,(1989),"9,647",63,"6' 0"""
Cassandra Gava,(1996),"9,648",,"5' 6"""
Bolaji Badejo,(1953–1992),"9,649",66,"6' 10"""
Andrea Lowe,(2010-2016),"9,650",44,"5' 6"""
Haaz Sleiman,(2007),"9,651",,
Ken Russell,(1927–2011),"9,652",92,"5' 7½"""
Gale Robbins,(1921–1980),"9,653",98,"5' 6"""
Rachel Hilson,(2019-2020),"9,654",,
Paul Chahidi,(2017),"9,655",,
Mathew Horne,(2007-2019),"9,656",41,"5' 7"""
Steve Oedekerk,(2002),"9,657",58,
Fanny Ardant,(2002),"9,658",70,"5' 8¾"""
Isabelle Cornish,(2017),"9,659",,"5' 8½"""
Lydia Cornell,(2005),"9,660",,"5' 6"""
Miriam Colon,(1936–2017),"9,661",83,"5' 1"""
Raviv Ullman,(2004-2006),"9,662",34,"5' 9½"""
Coco Austin,(2004-2012),"9,663",41,"5' 2"""
Josie Harris,(1980–2020),"9,664",40,
Nicholas Lea,(2000),"9,666",57,"6' 1"""
Penny Pax,(2015),"9,667",31,"5' 0"""
April Pearson,(2007-2008),"9,668",,"5' 7"""
Frances Bay,(1919–2011),"9,669",101,"5' 0"""
Lubna Azabal,(2010),"9,670",46,
Brett Kelly,(2003),"9,671",26,"5' 10"""
Allegra Edwards,(2019-2020),"9,672",,
Kate Magowan,(2007),"9,673",,"5' 7"""
Betty Grable,(1916–1973),"9,674",103,"5' 4"""
Theo Germaine,(2019),"9,675",,
Oakes Fegley,(2016),"9,676",,"4' 11"""
Ana Ortiz,(2006-2010),"9,677",49,"5' 4½"""
Cassandra Harris,(1948–1991),"9,678",71,
Gregory Itzin,(2005-2010),"9,679",71,"5' 9½"""
Joan Weldon,(1954),"9,681",89,
Inka Kytö,(2020),"9,682",,
Jon Daly,(2016),"9,683",,"5' 10½"""
Ruby Dee,(1922–2014),"9,684",97,"5' 2¼"""
Garcia,(2019),"9,685",,
Vitamin C,(2000),"9,686",47,"5' 5"""
Nicole Ansari-Cox,(2013),"9,687",,"5' 4¼"""
Kemp Powers,(2017),"9,688",,
Min-Ho Lee,(2013),"9,689",32,"6' 1½"""
Aliette Opheim,(2015-2018),"9,690",34,"5' 5"""
Bradley Walsh,(2004-2006),"9,691",59,"5' 8"""
Natalie Maines,(2002),"9,692",45,"5' 3"""
Laurie Bartram,(1958–2007),"9,693",61,"5' 8"""
DeWanda Wise,(2019),"9,694",,"5' 6"""
Justine Eyre,(2006),"9,695",,"5' 10½"""
Sorrell Booke,(1930–1994),"9,696",90,"5' 6"""
Alan Van Sprang,(2011),"9,698",48,"5' 11"""
Tahnee Welch,(1985),"9,699",58,"5' 6"""
Daisy Fuentes,(1997),"9,700",53,"5' 10"""
Bernard Fox,(1927–2016),"9,701",92,"6' 1"""
Sheryl Lee Ralph,(1988),"9,702",63,
Radhika Apte,(2018),"9,703",,"5' 1½"""
R.G. Armstrong,(1917–2012),"9,704",102,"6' 3"""
Katherine Hughes,(2015),"9,705",,"5' 5"""
Chris Vance,(2007-2008),"9,706",48,"5' 11"""
